Time,Load
(sec),(N)
129.89999,32.89195
130,32.79771
130.09999,32.7213
130.2,32.57407
130.3,32.50408
130.39999,32.39506
130.4728,32.37284
130.5,32.34088
130.59999,32.18967
130.7,32.11174
130.8,32.01087
130.89999,31.89759
131,31.79104
131.09998,31.69188
131.2,31.66414
131.3,31.52766
131.4,31.42288
131.5,31.3147
131.59998,31.23734
131.7,31.11771
131.8,31.02102
131.9,30.96054
132,30.83997
132.09998,30.74965
132.2,30.62398
132.3,30.54841
132.4,30.43024
132.5,30.33534
132.59998,30.27306
132.7,30.18797
132.8,30.08301
132.9,29.97107
133,29.89664
133.09998,29.78487
133.2,29.67918
133.3,29.6183
133.4,29.54267
133.5,29.43604
133.59998,29.32157
133.7,29.2446
133.8,29.15046
133.9,29.02967
134,28.96466
134.09998,28.89667
134.2,28.82312
134.3,28.70689
134.4,28.6012
134.5,28.53843
134.59998,28.40235
134.7,28.35766
134.8,28.26571
134.9,28.20546
135,28.07818
135.09998,27.98574
135.2,27.94676
135.3,27.80088
135.4,27.75026
135.5,27.64652
135.59998,27.61109
135.7,27.4912
135.7948,27.41902
135.8,27.40185
135.9,27.34504
136,27.22673
136.09998,27.16469
136.2,27.05525
136.3,27.01862
136.4,26.89054
136.5,26.82167
136.59998,26.7207
136.7,26.64896
136.8,26.54551
136.9,26.45746
137,26.41414
137.09998,26.31071
137.2,26.19179
137.3,26.11131
137.4,26.05278
137.5,25.96672
137.59998,25.86034
137.7,25.81098
137.8,25.75293
137.9,25.64248
138,25.56437
138.09998,25.50918
138.2,25.4127
138.3,25.31953
138.4,25.26202
138.5,25.21409
138.59998,25.10948
138.7,25.03981
138.8,24.94559
138.9,24.88962
139,24.76315
139.09998,24.71934
139.2,24.66186
139.3,24.57776
139.4,24.48599
139.5,24.37098
139.59998,24.34614
139.7,24.22615
139.8,24.14153
139.9,24.09763
140,24.0281
140.09998,23.92164
140.2,23.84077
140.3,23.79052
140.4,23.66666
140.5,23.60924
140.59998,23.52855
140.7,23.50222
140.8,23.40606
140.9,23.31156
141,23.25333
141.09998,23.15873
141.2,23.08528
141.3,23.01672
141.4,22.96789
141.5,22.88346
141.59998,22.77314
141.7,22.72167
141.8,22.64342
141.9,22.56589
142,22.48213
142.09998,22.43503
142.2,22.38158
142.3,22.27426
142.3468,22.24003
142.4,22.21684
142.5,22.16581
142.59998,22.04893
142.7,21.99228
142.8,21.93325
142.9,21.89907
143,21.79575
143.09998,21.7018
143.2,21.66223
143.3,21.57261
143.4,21.49312
143.5,21.42289
143.59998,21.3983
143.7,21.29652
143.8,21.24338
143.9,21.16659
144,21.10047
144.09998,21.01158
144.2,20.9334
144.3,20.91593
144.4,20.82126
144.5,20.7484
144.59998,20.65186
144.7,20.6238
144.8,20.49384
144.9,20.42904
145,20.39012
145.09998,20.32225
145.2,20.25106
145.3,20.15273
145.4,20.13672
145.5,20.02437
145.59998,19.95405
145.7,19.90663
145.8,19.84494
145.9,19.77655
146,19.68031
146.09998,19.64845
146.2,19.55689
146.3,19.49089
146.4,19.44119
146.5,19.37373
146.59998,19.32891
146.7,19.22701
146.8,19.17169
146.9,19.12494
147,19.02868
147.09998,18.98777
147.2,18.93098
147.3,18.89049
147.4,18.80716
147.5,18.73541
147.59998,18.68147
147.7,18.59474
147.8,18.5556
147.9,18.46812
148,18.44513
148.09998,18.35542
148.2,18.29862
148.3,18.27331
148.4,18.16067
148.5,18.12423
148.59998,18.04469
148.7,18.02847
148.8,17.94499
148.9,17.88813
149,17.81911
149.09998,17.75514
149.2,17.70127
149.3,17.62063
